record_id,occurence_month,ncic,total_number_of_victims,total_number_of_individual_victims,suspects_race_as_a_group,total_number_of_suspects,most_serious_ucr,most_serious_ucr_type,most_serious_location,most_serious_bias,most_serious_bias_type,most_serious_victim_type,weapon_type,offensive_act,is_multiple_bias,total_number_of_individual_victims_adult,total_number_of_individual_victims_juvenile,total_number_of_suspects_adult,total_number_of_suspects_juvenile,suspects_ethnicity_as_a_group,data_loaded_at
220197239,3/1/2022,,1,1,Black or African American,1,Intimidation,,Highway/Road/Alley/Street,Anti-Female,Gender,Person,"Personal weapons (hands, feet, teeth, etc.)",Other,,1,0,1,0,Unknown,11/15/2023 11:01
220270227,4/1/2022,,1,1,White,1,Aggravated Assault,,School-Elementary/Secondary,Anti-Gender Non-Conforming,Gender Nonconforming,Person,"Personal weapons (hands, feet, teeth, etc.)",Other,,0,1,0,1,Hispanic or Latino,11/15/2023 11:01
220279661,4/1/2022,,1,1,Unknown,1,Intimidation,,Community Center,Anti-Lesbian/Gay/Bisexual/Transgender,Sexual Orientation,Other,Unknown,Other,,1,0,1,0,Unknown,11/15/2023 11:01
220317192,5/1/2022,,1,1,Black or African American,5,Robbery,,Highway/Road/Alley/Street,Anti-White,Race/Ethnicity/Ancestry,Person,"Personal weapons (hands, feet, teeth, etc.)",Other,,1,0,0,0,Not Hispanic or Latino,11/15/2023 11:01
220337219,5/1/2022,,1,0,Unknown,1,Intimidation,,Community Center,Anti-Lesbian/Gay/Bisexual/Transgender,Sexual Orientation,Other,Unknown,Other,,0,0,1,0,Unknown,11/15/2023 11:01
220338405,5/1/2022,,1,1,Black or African American,1,Aggravated Assault,,Highway/Road/Alley/Street,Anti-Male,Gender,Person,"Firearm (unknown whether handgun, rifle or shotgun)",Unknown,,1,0,1,0,Group of Multiple Ethnicities,11/15/2023 11:01
220344189,5/1/2022,,1,0,Unknown,1,Intimidation,,Community Center,Anti-Jewish,Religion,Religious Organization,Unknown,Other,,0,0,1,0,Unknown,11/15/2023 11:01
220345422,5/1/2022,,1,0,Unknown,1,Destruction/Damage/Vandalism,,Church/Synagogue/Temple,Anti-Other Christian,Religion,Religious Organization,Unknown,Daubing of Swastika,,0,0,1,0,Unknown,11/15/2023 11:01
220346577,5/1/2022,,1,0,Unknown,1,Intimidation,,Community Center,Anti-Jewish,Religion,Religious Organization,Unknown,Other,,0,0,0,0,Unknown,11/15/2023 11:01
220378934,6/1/2022,,1,0,Unknown,0,Aggravated Assault,,Park/Playground,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry,Person,"Blunt object (blugeon, club, etc.)",Other,,0,0,0,0,Unknown,11/15/2023 11:01
220429361,6/1/2022,,1,1,White,1,Simple Assault,,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,"Other (bottle, rocks, spitting)",Other,,1,0,0,0,Not Hispanic or Latino,11/15/2023 11:01
220439912,7/1/2022,,5,5,Unknown,0,Intimidation,,Residence/Home/Driveway,Anti-Asian,Race/Ethnicity/Ancestry,Person,Unknown,Annoying telephone calls/fax,,5,0,0,0,Unknown,11/15/2023 11:01
220553744,8/1/2022,,1,1,Black or African American,1,Intimidation,,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation,Person,"Other (bottle, rocks, spitting)",Other,,1,0,0,0,Group of Multiple Ethnicities,11/15/2023 11:01
220578811,8/1/2022,,1,0,Black or African American,1,Simple Assault,,Highway/Road/Alley/Street,Anti-Asian,Race/Ethnicity/Ancestry,Person,"Other (bottle, rocks, spitting)",Other,,0,0,1,0,Unknown,11/15/2023 11:01
220612942,9/1/2022,,1,2,White,1,Simple Assault,,Highway/Road/Alley/Street,Anti-Jewish,Religion,Person,"Personal weapons (hands, feet, teeth, etc.)",Other,,2,0,1,0,Unknown,11/15/2023 11:01
220655340,9/1/2022,,1,1,White,1,Simple Assault,,Highway/Road/Alley/Street,Anti-White,Race/Ethnicity/Ancestry,Person,"Personal weapons (hands, feet, teeth, etc.)",Other,,1,0,1,0,Hispanic or Latino,11/15/2023 11:01
220683705,10/1/2022,,1,1,White,1,Simple Assault,,Highway/Road/Alley/Street,Anti-Transgender,Gender Nonconforming,Person,"Personal weapons (hands, feet, teeth, etc.)",Other,,1,0,1,0,Unknown,11/15/2023 11:01
220692938,10/1/2022,,1,1,Black or African American,2,Robbery,,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation,Person,"Personal weapons (hands, feet, teeth, etc.)",Other,,1,0,2,0,Unknown,11/15/2023 11:01
220700202,10/1/2022,,1,1,White,1,Simple Assault,,Parking Lot/Garage,Anti-Gay (Male),Sexual Orientation,Person,"Personal weapons (hands, feet, teeth, etc.)",Other,,1,0,0,0,Unknown,11/15/2023 11:01
220701802,10/1/2022,,1,1,Black or African American,1,Aggravated Assault,,Highway/Road/Alley/Street,Anti-Arab,Race/Ethnicity/Ancestry,Person,"Personal weapons (hands, feet, teeth, etc.)",Other,,1,0,1,0,Unknown,11/15/2023 11:01
220749125,10/1/2022,,3,3,White,5,Aggravated Assault,,Bar/Night Club,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,"Personal weapons (hands, feet, teeth, etc.)",Other,,0,0,5,0,Not Hispanic or Latino,11/15/2023 11:01
220797920,11/1/2022,,3,3,White,1,Intimidation,,Church/Synagogue/Temple,Anti-Other Christian,Religion,Person,Knife or Other Cutting or Stabbing Instrument,Other,,2,1,1,0,Hispanic or Latino,11/15/2023 11:01
220836910,12/1/2022,,1,1,Black or African American,1,Simple Assault,,Air/Bus/Train Terminal,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry,Person,"Personal weapons (hands, feet, teeth, etc.)",Other,,1,0,1,0,Unknown,11/15/2023 11:01
220860505,12/1/2022,,1,1,Unknown,1,Intimidation,,Community Center,Anti-Other Christian,Religion,Person,Unknown,Other,,1,0,1,0,Unknown,11/15/2023 11:01
220862266,12/1/2022,,1,1,White,1,Aggravated Assault,,Highway/Road/Alley/Street,Anti-Jewish,Religion,Person,"Other (bottle, rocks, spitting)",Other,,1,0,1,0,Hispanic or Latino,11/15/2023 11:01
230051528,1/1/2023,,2,2,Group of Multiple Ethnicities,3,Aggravated Assault,,Bar/Night Club,Anti-Gay (Male),Sexual Orientation,Person,"Personal weapons (hands, feet, teeth, etc.)",Other,,2,0,0,0,Group of Multiple Ethnicities,11/15/2023 11:01
230063959,1/1/2023,,1,0,Unknown,0,Destruction/Damage/Vandalism,,Park/Playground,Anti-Jewish,Religion,Government,Unknown,Daubing of Swastika,,0,0,0,0,Unknown,11/15/2023 11:01
230071639,1/1/2023,,3,3,Group of Multiple Ethnicities,1,Aggravated Assault,,Park/Playground,Anti-Asian,Race/Ethnicity/Ancestry,Person,"Other (bottle, rocks, spitting)",Other,,3,0,1,0,Hispanic or Latino,11/15/2023 11:01
230105830,2/1/2023,,1,1,White,1,Simple Assault,,Highway/Road/Alley/Street,Anti-Asian,Race/Ethnicity/Ancestry,Person,"Personal weapons (hands, feet, teeth, etc.)",Other,,1,0,1,0,Unknown,11/15/2023 11:01
230106656,2/1/2023,,1,1,White,1,Simple Assault,,Highway/Road/Alley/Street,Anti-Asian,Race/Ethnicity/Ancestry,Person,"Other (bottle, rocks, spitting)",Other,,1,0,1,0,Not Hispanic or Latino,11/15/2023 11:01
230118366,2/1/2023,,3,3,White,1,Simple Assault,,Highway/Road/Alley/Street,Anti-Asian,Race/Ethnicity/Ancestry,Person,"Other (bottle, rocks, spitting)",Other,,3,0,1,0,Not Hispanic or Latino,11/15/2023 11:01
230119922,2/1/2023,,1,1,White,1,Simple Assault,,Highway/Road/Alley/Street,Anti-Jewish,Religion,Person,"Other (bottle, rocks, spitting)",Other,,1,0,1,0,Hispanic or Latino,11/15/2023 11:01
230122715,2/1/2023,,1,1,White,1,Intimidation,,Government/Public Building,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,Unknown,Other,,1,0,1,0,Not Hispanic or Latino,11/15/2023 11:01
230125383,2/1/2023,,1,1,White,1,Simple Assault,,Grocery/Supermarket,Anti-Lesbian/Gay/Bisexual/Transgender,Sexual Orientation,Person,"Personal weapons (hands, feet, teeth, etc.)",Other,,1,0,1,0,Not Hispanic or Latino,11/15/2023 11:01
230139516,2/1/2023,,1,1,White,1,Simple Assault,,Highway/Road/Alley/Street,Anti-Transgender,Gender Nonconforming,Person,"Personal weapons (hands, feet, teeth, etc.)",Other,,1,0,1,0,Not Hispanic or Latino,11/15/2023 11:01
230145234,2/1/2023,,2,2,Unknown,1,Intimidation,,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,Unknown,Other,,2,0,1,0,Unknown,11/15/2023 11:01
230161161,3/1/2023,,1,1,White,1,Aggravated Assault,,Highway/Road/Alley/Street,Anti-Jewish,Religion,Person,"Other (bottle, rocks, spitting)",Other,,1,0,1,0,Not Hispanic or Latino,11/15/2023 11:01
230162868,3/1/2023,,1,1,White,1,Simple Assault,,Highway/Road/Alley/Street,Anti-Asian,Race/Ethnicity/Ancestry,Person,"Other (bottle, rocks, spitting)",Other,,1,0,1,0,Not Hispanic or Latino,11/15/2023 11:01
230196629,3/1/2023,,1,0,Unknown,0,Destruction/Damage/Vandalism,,Park/Playground,Anti-Jewish,Religion,Religious Organization,Unknown,Daubing of Swastika,,0,0,0,0,Unknown,11/15/2023 11:01
230213847,3/1/2023,,1,0,Unknown,0,Destruction/Damage/Vandalism,,Park/Playground,Anti-Jewish,Religion,Religious Organization,Unknown,Daubing of Swastika,,0,0,0,0,Unknown,11/15/2023 11:01
230223573,3/1/2023,,1,0,Unknown,0,Destruction/Damage/Vandalism,,Park/Playground,Anti-Jewish,Religion,Religious Organization,Unknown,Daubing of Swastika,,0,0,0,0,Unknown,11/15/2023 11:01
230259211,4/1/2023,,1,1,Black or African American,1,Robbery,,Highway/Road/Alley/Street,Anti-Lesbian/Gay/Bisexual/Transgender,Sexual Orientation,Person,"Personal weapons (hands, feet, teeth, etc.)",Other,,1,0,1,0,Unknown,11/15/2023 11:01
230278750,4/1/2023,,2,2,White,4,Simple Assault,,Highway/Road/Alley/Street,Anti-Transgender,Gender Nonconforming,Person,"Personal weapons (hands, feet, teeth, etc.)",Other,,2,0,4,0,Hispanic or Latino,11/15/2023 11:01
230294160,4/1/2023,,1,1,White,1,Simple Assault,,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,"Personal weapons (hands, feet, teeth, etc.)",Other,,1,0,1,0,Hispanic or Latino,11/15/2023 11:01
230315754,5/1/2022,,1,1,Unknown,0,Aggravated Assault,,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation,Person,"Other gun (pellet, BB, stun gun, etc.)",Other,,1,0,0,0,Unknown,11/15/2023 11:01
230364092,5/1/2023,,1,1,Black or African American,1,Simple Assault,,Highway/Road/Alley/Street,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry,Person,"Personal weapons (hands, feet, teeth, etc.)",Other,,1,0,1,0,Not Hispanic or Latino,11/15/2023 11:01
230381905,6/1/2023,,1,1,Black or African American,1,Simple Assault,,Highway/Road/Alley/Street,Anti-Transgender,Gender Nonconforming,Person,Unknown,Other,,1,0,0,1,Not Hispanic or Latino,11/15/2023 11:01
230383393,6/1/2023,,1,1,Unknown,1,Simple Assault,,Highway/Road/Alley/Street,Anti-Transgender,Gender Nonconforming,Person,"Personal weapons (hands, feet, teeth, etc.)",Other,,1,0,1,0,Group of Multiple Ethnicities,11/15/2023 11:01
230396277,6/1/2023,,1,2,Unknown,1,Intimidation,,Bar/Night Club,Anti-Lesbian/Gay/Bisexual/Transgender,Sexual Orientation,Person,Unknown,Other,,2,0,1,0,Unknown,11/15/2023 11:01
230412130,6/1/2023,,1,1,White,1,Simple Assault,,Bank/Savings and Loan,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,"Personal weapons (hands, feet, teeth, etc.)",Other,,1,0,1,0,Not Hispanic or Latino,11/15/2023 11:01
230426028,6/1/2023,,1,1,Unknown,1,Intimidation,,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation,Person,Unknown,Other,,1,0,1,0,Unknown,11/15/2023 11:01
230438528,6/1/2023,,1,1,White,5,Robbery,,Highway/Road/Alley/Street,Anti-Lesbian,Sexual Orientation,Person,"Personal weapons (hands, feet, teeth, etc.)",Other,,1,0,5,0,Hispanic or Latino,11/15/2023 11:01
230443709,6/1/2023,,1,1,Black or African American,1,Intimidation,,Highway/Road/Alley/Street,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry,Person,Handgun,Other,,1,0,1,0,Not Hispanic or Latino,11/15/2023 11:01
230448715,6/1/2023,,1,0,White,1,Destruction/Damage/Vandalism,,Church/Synagogue/Temple,Anti-Other Christian,Religion,Religious Organization,Unknown,Other,,0,0,0,0,Not Hispanic or Latino,11/15/2023 11:01
230531473,7/1/2023,,2,2,White,1,Robbery,,Grocery/Supermarket,Anti-Arab,Race/Ethnicity/Ancestry,Person,Knife or Other Cutting or Stabbing Instrument,Other,,2,0,1,0,Not Hispanic or Latino,11/15/2023 11:01
230531962,7/1/2023,,1,1,Black or African American,2,Simple Assault,,Other/Unknown,Anti-Asian,Race/Ethnicity/Ancestry,Person,"Personal weapons (hands, feet, teeth, etc.)",Other,,1,0,0,2,Not Hispanic or Latino,11/15/2023 11:01
230541494,7/1/2023,,1,0,Unknown,0,Destruction/Damage/Vandalism,,School-Elementary/Secondary,Anti-Jewish,Religion,Other,Unknown,Daubing of Swastika,,0,0,0,0,Unknown,11/15/2023 11:01
230559572,8/1/2023,,1,1,White,1,Destruction/Damage/Vandalism,,Hotel/Motel/etc.,Anti-Asian,Race/Ethnicity/Ancestry,Person,Unknown,Other,,1,0,1,0,Hispanic or Latino,11/15/2023 11:01
230562917,8/1/2023,,2,2,Unknown,1,Aggravated Assault,,Highway/Road/Alley/Street,Anti-Asian,Race/Ethnicity/Ancestry,Person,"Blunt object (blugeon, club, etc.)",Other,,2,0,1,0,Not Hispanic or Latino,11/15/2023 11:01
230576065,8/1/2023,,2,2,White,1,Intimidation,,Residence/Home/Driveway,Anti-Gay (Male),Sexual Orientation,Person,Unknown,Other,,2,0,1,0,Hispanic or Latino,11/15/2023 11:01
230607375,8/1/2023,,1,0,Unknown,0,Destruction/Damage/Vandalism,,Dock/Wharf/Freight/Modal Terminal,Anti-Jewish,Religion,Government,Unknown,Daubing of Swastika,,0,0,0,0,Unknown,11/15/2023 11:01
230620662,8/1/2023,,1,1,White,1,Simple Assault,,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,"Other (bottle, rocks, spitting)",Other,,1,0,1,0,Not Hispanic or Latino,11/15/2023 11:01
230667868,9/1/2023,,1,1,White,1,Intimidation,,Parking Lot/Garage,Anti-Lesbian,Sexual Orientation,Person,Unknown,Other,,1,0,1,0,Hispanic or Latino,11/15/2023 11:01
230714340,10/1/2023,,2,2,White,1,Intimidation,,Highway/Road/Alley/Street,Anti-Jewish,Religion,Person,Unknown,Other,,2,0,1,0,Not Hispanic or Latino,11/15/2023 11:01
230717322,10/1/2023,,2,2,Unknown,1,Simple Assault,,Highway/Road/Alley/Street,Anti-Transgender,Gender Nonconforming,Person,Unknown,Other,,2,0,1,0,Unknown,11/15/2023 11:01
230726163,10/1/2023,,2,2,Unknown,4,Robbery,,Highway/Road/Alley/Street,Anti-Jewish,Religion,Person,Unknown,Other,,2,0,4,0,Unknown,11/15/2023 11:01
230738356,10/1/2023,,5,0,Unknown,0,Destruction/Damage/Vandalism,,Commercial/Office Building,Anti-Jewish,Religion,Business,Unknown,Other,,0,0,0,0,Unknown,11/15/2023 11:01
230738588,10/1/2023,,1,0,Unknown,0,Destruction/Damage/Vandalism,,Government/Public Building,Anti-Jewish,Religion,Government,Unknown,Other,,0,0,0,0,Unknown,11/15/2023 11:01
230739207,10/1/2023,,2,2,White,2,Aggravated Assault,,Highway/Road/Alley/Street,Anti-Asian,Race/Ethnicity/Ancestry,Person,"Personal weapons (hands, feet, teeth, etc.)",Other,,2,0,2,0,Not Hispanic or Latino,11/15/2023 11:01
230740925,10/1/2023,,2,2,White,1,Intimidation,,Park/Playground,Anti-Transgender,Gender Nonconforming,Person,Unknown,Other,,2,0,1,0,Hispanic or Latino,11/15/2023 11:01
230740969,10/1/2023,,1,1,White,1,Aggravated Assault,,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation,Person,Unknown,Other,,1,0,1,0,Not Hispanic or Latino,11/15/2023 11:01
230755021,10/1/2023,,2,2,White,1,Simple Assault,,Highway/Road/Alley/Street,Anti-Arab,Race/Ethnicity/Ancestry,Person,"Other (bottle, rocks, spitting)",Other,,2,0,1,0,Not Hispanic or Latino,11/15/2023 11:01
230756392,10/1/2023,,2,2,White,1,Aggravated Assault,,Restaurant,Anti-Jewish,Religion,Person,"Other (bottle, rocks, spitting)",Other,,2,0,1,0,Hispanic or Latino,11/15/2023 11:01
230763290,10/1/2023,,1,0,Unknown,0,Destruction/Damage/Vandalism,,Restaurant,Anti-Jewish,Religion,Business,Unknown,Other,,0,0,0,0,Unknown,11/15/2023 11:01
230772114,10/1/2023,,21,0,Unknown,0,Destruction/Damage/Vandalism,,Other/Unknown,Anti-Jewish,Religion,Business,Unknown,Other,,0,0,0,0,Unknown,11/15/2023 11:01
230776118,10/1/2023,,1,0,Unknown,1,Intimidation,,Community Center,Anti-Jewish,Religion,Religious Organization,Unknown,Other,,0,0,1,0,Unknown,11/15/2023 11:01
CA00-0000011527,1/1/2002,3801,1,1,Asian/Pacific Islander,1,Destruction/Damage/Vandalism,Property Crimes,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,,Other,,,,,,,11/15/2023 11:01
CA00-0000011528,1/1/2002,3801,1,1,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,,Other,,,,,,,11/15/2023 11:01
CA00-0000011529,1/1/2002,3801,1,1,Hispanic,1,Intimidation,Violent Crimes,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,Knife or other cutting or stabbing instrument,Verbal slurs,,,,,,,11/15/2023 11:01
CA00-0000011531,1/1/2002,3801,1,1,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Highway/Road/Alley/Street,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry,Person,,Daubing of swastika,,,,,,,11/15/2023 11:01
CA00-0000011532,1/1/2002,3801,1,1,Hispanic,1,Intimidation,Violent Crimes,Highway/Road/Alley/Street,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry,Person,Knife or other cutting or stabbing instrument,Verbal slurs,,,,,,,11/15/2023 11:01
CA00-0000011533,1/1/2002,3801,1,1,Black or African American,1,Simple Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-White,Race/Ethnicity/Ancestry,Person,"Blunt object (blugeon, club, etc.)",Verbal slurs,,,,,,,11/15/2023 11:01
CA00-0000011534,1/1/2002,3801,1,0,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Church/Synagogue/Temple,Anti-Jewish,Religion,Religious,,Daubing of swastika,,,,,,,11/15/2023 11:01
CA00-0000011535,1/1/2002,3801,2,2,White,1,Intimidation,Violent Crimes,Hotel/Motel/etc.,Anti-Lesbian/Gay/Bisexual or Transgender (Mixed Group),Sexual Orientation,Person,,Verbal slurs,,,,,,,11/15/2023 11:01
CA00-0000011655,2/1/2002,3801,1,1,White,2,Intimidation,Violent Crimes,Bar/Night Club,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,Handgun,Verbal slurs,,,,,,,11/15/2023 11:01
CA00-0000011656,2/1/2002,3801,1,1,Black or African American,1,Simple Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-White,Race/Ethnicity/Ancestry,Person,"Other (bottle, rocks, spitting)",Verbal slurs,,,,,,,11/15/2023 11:01
CA00-0000011657,2/1/2002,3801,3,3,Unknown,0,Intimidation,Violent Crimes,Commercial/Office Building,Anti-Lesbian/Gay/Bisexual or Transgender (Mixed Group),Sexual Orientation,Person,,Annoying telephone calls/fax,,,,,,,11/15/2023 11:01
CA00-0000011658,2/1/2002,3801,1,1,Black or African American,1,Aggravated Assault,Violent Crimes,Service/Gas Station,Anti-Islamic (Muslim),Religion,Person,"Blunt object (blugeon, club, etc.)",Verbal slurs,,,,,,,11/15/2023 11:01
CA00-0000011659,2/1/2002,3801,1,1,Group of Multiple Races,3,Simple Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,,,,,,,11/15/2023 11:01
CA00-0000011660,2/1/2002,3801,2,2,Unknown,0,Intimidation,Violent Crimes,Residence/Home/Driveway,Anti-Islamic (Muslim),Religion,Person,,Rock throwing,,,,,,,11/15/2023 11:01
CA00-0000011661,2/1/2002,3801,1,1,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation,Person,,Graffiti,,,,,,,11/15/2023 11:01
CA00-0000011662,2/1/2002,3801,1,1,Unknown,0,Simple Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,,,,,,,11/15/2023 11:01
CA00-0000011663,2/1/2002,3801,1,1,White,1,Simple Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,"Other (bottle, rocks, spitting)",Verbal slurs,,,,,,,11/15/2023 11:01
CA00-0000011747,3/1/2002,3801,1,1,Black or African American,1,Robbery,Violent Crimes,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,,,,,,,11/15/2023 11:01
CA00-0000011748,3/1/2002,3801,1,1,Hispanic,1,Simple Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,,,,,,,11/15/2023 11:01
CA00-0000011749,3/1/2002,3801,1,0,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Commercial/Office Building,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry,Business,,Graffiti,,,,,,,11/15/2023 11:01
CA00-0000011750,3/1/2002,3801,1,0,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Church/Synagogue/Temple,Anti-Jewish,Religion,Religious,,Graffiti,,,,,,,11/15/2023 11:01
CA00-0000011751,3/1/2002,3801,1,1,Unknown,0,Intimidation,Violent Crimes,Liquor Store,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry,Person,,Verbal slurs,,,,,,,11/15/2023 11:01
CA00-0000011752,3/1/2002,3801,2,2,Group of Multiple Races,3,Simple Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,,,,,,,11/15/2023 11:01
CA00-0000011753,3/1/2002,3801,2,2,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Residence/Home/Driveway,Anti-White,Race/Ethnicity/Ancestry,Person,,Graffiti,,,,,,,11/15/2023 11:01
CA00-0000011754,3/1/2002,3801,1,1,White,2,Simple Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Lesbian/Gay/Bisexual or Transgender (Mixed Group),Sexual Orientation,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,,,,,,,11/15/2023 11:01
CA00-0000011755,3/1/2002,3801,2,2,Unknown,0,Intimidation,Violent Crimes,Commercial/Office Building,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry,Person,,Annoying telephone calls/fax,,,,,,,11/15/2023 11:01
CA00-0000011756,3/1/2002,3801,1,0,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Commercial/Office Building,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry,Business,,Graffiti,,,,,,,11/15/2023 11:01
CA00-0000011758,3/1/2002,3801,1,1,Unknown,0,Simple Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,,,,,,,11/15/2023 11:01
CA00-0000011759,3/1/2002,3801,2,2,White,1,Aggravated Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Lesbian,Sexual Orientation,Person,"Other (bottle, rocks, spitting)",Verbal slurs,,,,,,,11/15/2023 11:01
CA00-0000011760,3/1/2002,3801,1,1,White,1,Intimidation,Violent Crimes,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation,Person,,Verbal slurs,,,,,,,11/15/2023 11:01
